episode,step,return,length
1,10,10.0,10
2,38,28.0,28
3,56,18.0,18
4,70,14.0,14
5,96,26.0,26
6,119,23.0,23
7,138,19.0,19
8,147,9.0,9
9,182,35.0,35
10,193,11.0,11
11,206,13.0,13
12,216,10.0,10
13,243,27.0,27
14,263,20.0,20
15,280,17.0,17
16,296,16.0,16
17,309,13.0,13
18,344,35.0,35
19,356,12.0,12
20,384,28.0,28
21,399,15.0,15
22,422,23.0,23
23,438,16.0,16
24,452,14.0,14
25,480,28.0,28
26,497,17.0,17
27,514,17.0,17
28,541,27.0,27
29,561,20.0,20
30,573,12.0,12
31,590,17.0,17
32,605,15.0,15
33,621,16.0,16
34,644,23.0,23
35,661,17.0,17
36,671,10.0,10
37,688,17.0,17
38,704,16.0,16
39,724,20.0,20
40,745,21.0,21
41,758,13.0,13
42,771,13.0,13
43,783,12.0,12
44,795,12.0,12
45,820,25.0,25
46,852,32.0,32
47,871,19.0,19
48,891,20.0,20
49,902,11.0,11
50,915,13.0,13
51,999,84.0,84
52,1012,13.0,13
53,1037,25.0,25
54,1055,18.0,18
55,1071,16.0,16
56,1084,13.0,13
57,1097,13.0,13
58,1116,19.0,19
59,1143,27.0,27
60,1160,17.0,17
61,1183,23.0,23
62,1197,14.0,14
63,1214,17.0,17
64,1235,21.0,21
65,1268,33.0,33
66,1323,55.0,55
67,1356,33.0,33
68,1383,27.0,27
69,1398,15.0,15
70,1439,41.0,41
71,1459,20.0,20
72,1487,28.0,28
73,1555,68.0,68
74,1571,16.0,16
75,1584,13.0,13
76,1602,18.0,18
77,1627,25.0,25
78,1687,60.0,60
79,1703,16.0,16
80,1761,58.0,58
81,1778,17.0,17
82,1810,32.0,32
83,1822,12.0,12
84,1847,25.0,25
85,1868,21.0,21
86,1889,21.0,21
87,1905,16.0,16
88,1918,13.0,13
89,1951,33.0,33
90,1969,18.0,18
91,2006,37.0,37
92,2021,15.0,15
93,2033,12.0,12
94,2049,16.0,16
95,2071,22.0,22
96,2139,68.0,68
97,2160,21.0,21
98,2184,24.0,24
99,2227,43.0,43
100,2258,31.0,31
101,2274,16.0,16
102,2298,24.0,24
103,2373,75.0,75
104,2397,24.0,24
105,2422,25.0,25
106,2434,12.0,12
107,2459,25.0,25
108,2562,103.0,103
109,2582,20.0,20
110,2617,35.0,35
111,2638,21.0,21
112,2654,16.0,16
113,2672,18.0,18
114,2683,11.0,11
115,2748,65.0,65
116,2776,28.0,28
117,2793,17.0,17
118,2838,45.0,45
119,2882,44.0,44
120,2898,16.0,16
121,2936,38.0,38
122,2966,30.0,30
123,2988,22.0,22
124,3006,18.0,18
125,3033,27.0,27
126,3067,34.0,34
127,3082,15.0,15
128,3093,11.0,11
129,3134,41.0,41
130,3149,15.0,15
131,3172,23.0,23
132,3213,41.0,41
133,3245,32.0,32
134,3268,23.0,23
135,3330,62.0,62
136,3355,25.0,25
137,3373,18.0,18
138,3396,23.0,23
139,3418,22.0,22
140,3429,11.0,11
141,3439,10.0,10
142,3453,14.0,14
143,3472,19.0,19
144,3505,33.0,33
145,3527,22.0,22
146,3556,29.0,29
147,3572,16.0,16
148,3591,19.0,19
149,3628,37.0,37
150,3646,18.0,18
151,3670,24.0,24
152,3702,32.0,32
153,3727,25.0,25
154,3747,20.0,20
