episode,step,return,length
1,119,-113.29,119
2,187,-88.65,68
3,302,-137.7,115
4,410,-171.86,108
5,485,-65.23,75
6,578,-119.71,93
7,688,-141.7,110
8,824,-154.56,136
9,882,-105.35,58
10,972,-87.14,90
11,1031,-95.06,59
12,1132,-174.76,101
13,1227,-104.43,95
14,1341,-432.86,114
15,1442,-131.1,101
16,1510,-210.69,68
17,1588,-331.21,78
18,1706,-295.28,118
19,1816,-156.99,110
20,1887,-247.62,71
21,1996,-147.79,109
22,2070,-94.35,74
23,2158,-112.2,88
24,2264,-95.68,106
25,2347,-80.2,83
26,2423,-103.22,76
27,2532,-105.12,109
28,2639,-309.41,107
29,2722,-154.88,83
30,2792,-14.79,70
31,2874,-84.65,82
32,2938,-96.16,64
33,3010,-76.75,72
34,3113,-291.88,103
35,3172,-118.29,59
36,3276,-200.52,104
37,3412,-50.52,136
38,3559,-315.83,147
39,3648,-116.08,89
40,3719,-89.31,71
41,3783,-65.65,64
42,3856,-188.87,73
43,3981,-78.25,125
44,4065,-341.42,84
45,4161,-237.76,96
46,4302,-322.75,141
47,4470,-289.14,168
48,4550,-140.44,80
49,4626,-72.04,76
50,4743,-258.25,117
51,4884,-295.8,141
52,4990,-104.57,106
53,5129,-253.34,139
54,5234,-175.14,105
55,5339,-115.59,105
56,5503,-376.55,164
57,5625,-308.82,122
58,5705,-143.87,80
59,5804,-117.8,99
60,5891,-143.76,87
61,6024,-260.18,133
62,6132,-175.08,108
63,6281,-116.41,149
64,6391,-101.85,110
65,6525,-301.89,134
66,6661,-413.16,136
67,6750,-257.1,89
68,6821,-79.29,71
69,6923,-195.84,102
70,7070,-82.05,147
71,7171,-197.02,101
72,7233,-88.66,62
73,7328,-131.27,95
74,7494,-394.53,166
75,7600,-180.37,106
76,7741,-255.78,141
77,7826,-110.2,85
78,7952,-322.42,126
79,8057,-364.44,105
80,8154,-77.6,97
81,8235,-85.11,81
82,8339,-133.76,104
83,8422,-63.21,83
84,8491,-47.23,69
85,8584,-226.71,93
86,8690,-223.84,106
87,8812,-125.57,122
88,8933,-309.17,121
89,9044,-149.67,111
90,9154,-222.06,110
91,9252,-143.7,98
92,9360,-172.74,108
93,9476,-178.92,116
94,9565,-73.57,89
95,9713,-114.3,148
96,9854,-67.08,141
97,9980,-411.67,126
98,10089,-133.15,109
99,10233,-361.03,144
100,10342,-135.08,109
101,10462,-326.71,120
102,10613,-52.72,151
103,10703,-237.72,90
104,10782,-59.07,79
105,10861,-94.23,79
106,10926,-111.25,65
107,11080,-356.3,154
108,11182,-177.1,102
109,11306,-78.21,124
110,11414,-205.73,108
111,11503,-53.63,89
112,11610,-179.43,107
113,11720,-210.37,110
114,11806,-101.42,86
115,11920,-161.34,114
116,12085,-76.5,165
117,12270,-207.53,185
118,12419,-124.63,149
119,12484,-66.91,65
120,12677,-130.14,193
121,12813,-101.95,136
122,12966,-230.13,153
123,13048,-61.49,82
124,13124,-128.06,76
125,13253,-254.67,129
126,13333,-55.92,80
127,13441,-269.92,108
128,13580,-172.2,139
129,13765,-94.56,185
130,13838,-43.2,73
131,13925,-70.43,87
132,14067,-147.37,142
133,14225,-13.7,158
134,14323,-157.95,98
135,14472,-273.09,149
136,14562,15.47,90
137,14691,-257.08,129
138,14782,-240.34,91
139,14885,-107.04,103
140,14984,-209.96,99
141,15113,-290.64,129
142,15319,-264.82,206
143,15434,-218.74,115
144,15619,-315.01,185
145,15725,-121.87,106
146,15829,-159.44,104
147,15951,-196.8,122
148,16115,-57.54,164
149,16254,-219.46,139
150,16437,-58.3,183
151,16581,-291.37,144
152,16684,-319.93,103
153,16811,-75.21,127
154,16949,-182.93,138
155,17097,-120.07,148
156,17226,-66.34,129
157,17376,-49.19,150
158,17503,-98.63,127
159,17649,-42.86,146
160,17788,-272.16,139
161,17937,-188.4,149
162,18109,-70.16,172
163,18241,-25.7,132
164,18374,-99.27,133
165,18595,-282.28,221
166,18747,-48.07,152
167,18899,-134.85,152
168,19080,-347.65,181
169,19234,-43.18,154
170,19340,-12.51,106
171,19465,-77.23,125
172,19552,-43.95,87
173,19716,-41.76,164
174,19854,-158.71,138
175,20047,-25.65,193
176,20198,-68.77,151
177,20301,-270.25,103
178,20431,-284.63,130
179,20524,-98.49,93
180,20670,-15.85,146
181,20898,-200.94,228
182,21044,-63.11,146
183,21268,-189.8,224
184,21390,-94.35,122
185,21492,-46.89,102
186,21625,-141.55,133
187,21845,13.87,220
188,21968,-27.58,123
189,22070,29.66,102
190,22236,-1.38,166
191,22406,5.89,170
192,23406,10.92,1000
193,23563,-153.64,157
194,23790,-4.75,227
195,23949,-41.38,159
196,24166,6.26,217
197,24287,9.95,121
198,24427,-111.23,140
199,24625,-62.49,198
200,24776,-48.03,151
201,24913,-57.3,137
202,25050,-19.18,137
203,25180,-60.15,130
204,25299,4.79,119
205,25487,-35.48,188
206,25592,-52.53,105
207,25739,-133.39,147
208,25888,-9.23,149
209,26059,-60.83,171
210,26143,-23.72,84
211,26263,-68.69,120
212,26384,-91.75,121
213,26549,-65.65,165
214,26763,-141.53,214
215,26890,-219.98,127
216,27023,18.17,133
217,27258,-78.26,235
218,27528,-178.72,270
219,27692,-50.72,164
220,27824,-37.84,132
221,28012,-222.33,188
222,28135,-12.72,123
223,28250,-10.76,115
224,28522,-107.83,272
225,28759,-11.66,237
226,28896,20.76,137
227,29124,-281.86,228
228,29269,-29.04,145
229,29441,22.18,172
230,29557,-6.32,116
231,29692,-9.38,135
232,29956,-108.58,264
233,30137,-79.75,181
234,30224,-65.66,87
235,30349,7.27,125
236,31349,46.8,1000
237,31456,-37.42,107
238,31589,-28.58,133
239,31834,-199.26,245
240,31959,19.93,125
241,32128,21.92,169
242,32239,-84.79,111
243,32387,27.31,148
